,Document Title,Publication Year,Publication Title,Authors,Volume,Issue,Start Page,End Page,Abstract,DOI,PDF Link,Author Keywords,IEEE Terms,Article Citation Count,Reference Count,Document Identifier,,,,,,,,,,,,,,,,,,,,,,,,,
EC2,Resilient virtual network mapping against large-scale regional failures,2017,2017 26th Wireless and Optical Communication Conference (WOCC),C. Galdamez; Z. Ye,,,1,4,"Network Function Virtualization (NFV) and Software-Defined Networking (SDN) technologies enable a fast way of deploying network services by instant initialization of virtual network functions on standardized commodity hardware, and a flexible network control and management via dynamic reconfigurations over open protocols. In particular, virtual networks from distinct tenants can be provisioned on the same physical network infrastructure to share the computing and networking resources through a process called virtual network mapping, which can lead to an efficient utilization of the underlying physical resources while guaranteeing the service isolation and performance efficiency. In the process of provisioning virtual networks, it is critically important to ensure that the virtual network services are resilient and they have the capability to continue functioning well in case of various failures such as fiber cuts, natural disasters and malicious attacks. In this paper, we study the problem of resilient virtual network mapping against large-scale regional failures, which are more challenging than existing network survivability designs in terms of single node/link failures or shared risk link group failures. We propose a novel region-disjoint mapping (RDM) algorithm which can map the primary and backup virtual networks into nonoverlapping geographical areas to survive large-scale regional failures. More specifically, the RDM algorithm adopts (1) the backtracking techniques to ensure the disjointness of the primary and backup virtual networks, and (2) the Suurballe's algorithm to jointly optimize the mapping of primary and backup virtual networks in one-step. Simulation results show that the proposed RDM algorithm achieves much lower physical network resource consumption and blocking probability.",10.1109/WOCC.2017.7928978,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7928978,Virtual network mapping;region-disjoint;network resiliency,Bandwidth;Virtualization;Silicon;Network topology;Algorithm design and analysis;Computational modeling;Electronic mail,1,12,IEEE Conferences,,,,,,,,,,,,,,,,,,,,,,,,,
OK,Base Station Popularity-Based Dynamic Resource Allocation for VNF,2019,2019 2nd International Conference on Communication Engineering and Technology (ICCET),S. Sun; J. Zhou; Y. Sun; G. Feng; S. Qin; W. She,,,81,87,"Network Function Virtualization (NFV) is emerging as a promising technology in future wireless communication system to achieve resource sharing through abstracting standardized network equipment into different types of virtual network functions (VNFs) to be placed in various network slices for diverse requirements. In order to satisfy the required QoS of serving users, each network slice deploys appropriate VNFs on different Base Stations (BSs) and orchestrates them for providing uniform service like an independent virtual network. However, due to the user mobility, the VNF on the BS may not have sufficient resource to provide QoS guaranteed services for newly accessed users. It is challenging to allocate adequate resource dynamically for VNFs to guarantee the required QoS of roaming users. In this paper, we propose a dynamic resource allocation scheme for VNF based on group mobility prediction. We first employ Markov chain and online learning method together to predict group mobility of users. Then we calculate the popularities of BSs for allocating more resource to the hotspot BSs (HBSs) with aim of enabling HBS permit the enormous service requests of approaching users. We propose a complementarity mechanism to maximize resource efficiency when implementing resource allocation for VNFs. Numerical results validate the effectiveness of our proposed dynamic resource allocation scheme.",10.1109/ICCET.2019.8726889,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8726889,network function virtualization;virtual network function;group mobility prediction;base station popularity;dynamic resource allocation,Resource management;Handover;Quality of service;Dynamic scheduling;Markov processes;Network slicing,,14,IEEE Conferences,,,,,,,,,,,,,,,,,,,,,,,,,
EC4,T-NOVA: Network functions as-a-service over virtualised infrastructures,,Athens,G. Xilouris; M. Kourtis; M. J. McGrath; V. Riccobene; G. Petralia; E. Markakis; E. Palis; A. Georgios; G. Gardikis; J. F. Riera; A. Ramos; J. Bonnet,Greece; Intel Labs Europe,Leixlip,Co. Kildare,Ireland; Intel Labs Europe,Leixlip,Leixlip,Ireland; Technological Educational Institute of Crete,Heraklion,Greece; Technological Educational Institute of Crete,Greece; R&D Department,Space Hellas S.A. Athens; Distrib. Applic. & Networks Area i2CAT Found.,2015 IEEE Conference on Network Function Virtualization and Software Defined Network (NFV-SDN),,2015,,,13,14,"The EU funded FP7 project T-NOVA, with the specific goal of accelerating the evolution of NFV, proposes an open architecture to provide Virtual Network Functions as a Service (VNFaaS), together with a dynamic, and flexible platform for the management of Network Services (NSs) composed by those Virtual Network Functions (VNFs). The proposed architecture allows operators to deploy distinct virtualized network functions, not only for their internal operational needs, but also to offer them to their customers, as value-added services. Virtual network appliances (e.g. gateways, proxies or even traffic analyzers) can be provided on-demand, eliminating the need to acquire, install, and maintain specialized hardware at customer premises. This demo illustrates work carried out on the deployment of a VNF on a Network Function Virtualization Infrastructure (NFVI) using resource aware scheduling methods to ensure optimal use of resources and performance while we focus also on business-related and customer front-end aspects, i.e. how the stakeholders interact with the services, which T-NOVA identifies as the marketplace layer.",,,10.1109/NFV-SDN.2015.7387394,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7387394,NFV;VNF;Marketplace;virtualisation;NFaaS;T-NOVA,Computer architecture;Cloud computing;Europe;Noise measurement;Conferences;Software defined networking,computer network management;resource allocation;virtualisation,EU funded FP7 project;T-NOVA project;NFV;virtual network functions as a service;VNFaaS;network services management;virtual network functions;VNF;virtual network appliances;network function virtualization infrastructure;NFVI;resource aware scheduling methods;marketplace,,8,3,,,,,IEEE,IEEE Conferences
EC2,NFV Resource Allocation Using Mixed Queuing Network Model,2016,2016 IEEE Global Communications Conference (GLOBECOM),M. S. Yoon; A. E. Kamal,,,1,6,"Network resource virtualization emerged as the future of communication technology recently, and the advent of Software Define Network (SDN) and Network Function Virtualization (NFV) enables the realization of network resource virtualization. NFV virtualizes traditional physical middle-boxes that implement specific network functions. Since multiple network functions can be virtualized in a single server or data center, the network operator can save Capital Expenditure (CAPEX) and Operational Expenditure (OPEX) through NFV. Since each customer demands different types of VNFs with various applications, the service requirements are different for all VNFs. Therefore, allocating multiple Virtual Network Functions(VNFs) to limited network resource requires efficient resource allocation. We propose an efficient resource allocation strategy of VNFs in a single server by employing mixed queuing network model while minimizing the customers' waiting time in the system. The problem is formulated as a convex problem. However, this problem is impossible to be solved because of the closed queuing network calculation. So we use an approximation algorithm to solve this problem. Numerical results of this model show performance metrics of mixed queuing network. Also, we could find that the approximate algorithm has a close optimal solution by comparing them with neighbor solutions.",10.1109/GLOCOM.2016.7842023,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7842023,,Servers;Resource management;Switches;Numerical models;Queueing analysis;Monitoring;Sociology,3,17,IEEE Conferences,,,,,,,,,,,,,,,,,,,,,,,,,
EC2,Dynamic Network Function Chain Composition for Mitigating Network Latency,2018,2018 IEEE Symposium on Computers and Communications (ISCC),W. Hajji; T. A. L. Genez; F. P. Tso; L. Cui; I. Phillips,,,316,321,"Network Function Virtualisation (NFV) enables rapid deployment of new services in networks on an on-demand basis using general purpose servers. Multiple virtual network functions (VNFs) can be dynamically chained in an ordered sequence for the delivery of end-to-end services. Nevertheless, network latency caused by the sequential order of packet processing on every VNF can hurt the performance of latency-sensitive applications. To reduce such network latency, existing solutions only consider the maximum capacity of individual virtual network functions (VNFs) and do not take into account the fact that performance of VNFs, as with any software applications, is bottlenecked by either CPU or I/O peripheral capacity of the server they run on and their underneath implementation such as singleor multi-threaded.By exploiting this knowledge, we can better determine the number of required VNF instances and distribute the network traffic among them for any given VNF chain. In this paper, we formulate the VNF Scaling and Traffic Distribution problem and prove that it is NP-hard. We then present the design and implementation of Natif, an efficient VNF-Aware VNF insTantIation and traFfic distribution scheme. Through our OpenStack-based testbed evaluations, we demonstrate that Natif can significantly improve the network latency by 188% on average as compared to other approaches. As a chain composition scheme, Natif can effectively work with any VNF chaining algorithms.",10.1109/ISCC.2018.8538646,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8538646,,Central Processing Unit;Delays;Bandwidth;Computers;Algorithms;Engines;Computer science,,11,IEEE Conferences,,,,,,,,,,,,,,,,,,,,,,,,,
EC2,Single and Multi-Domain Adaptive Allocation Algorithms for VNF Forwarding Graph Embedding,2019,IEEE Transactions on Network and Service Management,P. T. A. Quang; A. Bradai; K. D. Singh; G. Picard; R. Riggio,16,1,98,112,"Network function virtualization (NFV) will simplify deployment and management of network and telecommunication services. NFV provides flexibility by virtualizing the network functions and moving them to a virtualization platform. In order to achieve its full potential, NFV is being extended to mobile or wireless networks by considering virtualization of radio functions. A typical network service setup requires the allocation of a virtual network function-forwarding graph (VNF-FG). A VNF-FG is allocated considering the resource constraints of the lower infrastructure. This topic has been well-studied in existing literature, however, the effects of variations of networks over time have not been addressed yet. In this paper, we provide a model of the adaptive and dynamic VNF allocation problem considering also VNF migration. Then we formulate the optimization problem as an integer linear programming (ILP) and provide a heuristic algorithm for allocating multiple VNF-FGs. The idea is that VNF-FGs can be reallocated dynamically to obtain the optimal solution over time. First, a centralized optimization approach is proposed to cope with the ILP-resource allocation problem. Next, a decentralized optimization approach is proposed to deal with cooperative multi-operator scenarios. We adopt AD3, an alternating direction method of multipliers-based algorithm, to solve this problem in a distributed way. The results confirm that the proposed algorithms are able to optimize the network utilization, while limiting the number of reallocations of VNFs which could interrupt network services.",10.1109/TNSM.2018.2876623,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8494813,Network function virtualization;VNF-FG embedding;multi-domain orchestration;approximation algorithm;distributed optimization,Resource management;Approximation algorithms;Optimization;Computer architecture;Heuristic algorithms;Wireless networks;Virtualization,2,42,IEEE Journals,,,,,,,,,,,,,,,,,,,,,,,,,
OK,Machine Learning-Based Method for Prediction of Virtual Network Function Resource Demands,2019,2019 IEEE Conference on Network Softwarization (NetSoft),H. Kim; D. Lee; S. Jeong; H. Choi; J. Yoo; J. W. Hong,,,405,413,"Software-Defined Networking (SDN) and Network Function Virtualization (NFV) are paradigms that help administrators to manage dynamic networks. While SDN allows centralized network control, NFV provides flexible and scalable Virtual Network Functions (VNFs). These paradigms are also enablers for concepts such as Service Function Chaining (SFC) where chains are composed of several VNFs to provide a specific service. However, in order to maximize the benefits from the above-mentioned flexibility, new research questions need to be addressed, e.g., regarding effective management processes for dynamic networks. We proposed a novel learning model based on the flexibility of softwarization and abundant volume of monitoring data in NFV environments to predict VNF resource demands using SFC data. Our model is based on Context and Aspect Embedded Attentive Target Dependent Long Short Term Memory (CAT-LSTM) that consists of Target-Dependent LSTM (TD-LSTM), context embedding, aspect embedding, and attention. We developed this model to obtain high accuracy for the prediction of VNF resources such as the CPU. Our model uses two labeling systems: the qualitative resource state and the quantitative resource usage, both of which are used to evaluate its performance. This assists the administrator in understanding the network conditions, improves prediction performance, and provides practically useful information. Our learning model for predicting VNF resource demands can be utilized to solve essential SFC problems such as auto-scaling and optimal placement, which in turn prevent service interruption and provide high reliability.",10.1109/NETSOFT.2019.8806687,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8806687,VNF;SFC;Machine Learning;Resource Demand Prediction,Machine learning;Predictive models;Resource management;Data models;Logic gates;Supervised learning;Neural networks,1,28,IEEE Conferences,,,,,,,,,,,,,,,,,,,,,,,,,
EC2,Semantically Enhanced Mapping Algorithm for Affinity-Constrained Service Function Chain Requests,2017,IEEE Transactions on Network and Service Management,N. Bouten; R. Mijumbi; J. Serrat; J. Famaey; S. Latré; F. De Turck,14,2,317,331,"Network function virtualization (NFV) and software defined networking (SDN) have been proposed to increase the cost-efficiency, flexibility, and innovation in network service provisioning. This is achieved by leveraging IT virtualization techniques and combining them with programmable networks. By doing so, NFV and SDN are able to decouple the network functionality from the physical devices on which they are deployed. Service function chains (SFCs) composed out of virtual network functions (VNFs) can now be deployed on top of the virtualized infrastructure to create new value-added services. Current NFV approaches are limited to mapping the different VNF to the physical substrate subject to resource capacity constraints. They do not provide the possibility to define location requirements with a certain granularity and constraints on the colocation of VNF and virtual edges. Nevertheless, many scenarios can be envisioned in which a service provider (SP) would like to attach placement constraints for efficiency, resilience, legislative, privacy, and economic reasons. Therefore, we propose a set of affinity and anti-affinity constraints, which can be used by SP to define such placement restrictions. Furthermore, a semantic SFC validation framework is proposed that allows the virtual network function infrastructure provider (VNFInP) to check the validity of a set of constraints and provide feedback to the SPs. This allows the VNFInP to filter out any non-valid SFC requests before sending them to the mapping algorithm, significantly reducing the mapping time.",10.1109/TNSM.2017.2681025,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7875160,Network function virtualization;software defined networking;semantic technology,Semantics;Resource management;Cloud computing;Virtualization;Privacy;Resilience;Hardware,8,35,IEEE Journals,,,,,,,,,,,,,,,,,,,,,,,,,
EC2,NFV-Inspector: A Systematic Approach to Profile and Analyze Virtual Network Functions,2018,2018 IEEE 7th International Conference on Cloud Networking (CloudNet),M. Gokan Khan; S. Bastani; J. Taheri; A. Kassler; S. Deng,,,1,7,"Network Function Virtualization (NFV) focuses on decoupling network functions from proprietary hardware (i.e., middleboxes) by leveraging virtualization technology. Combining it with Software Defined Networking (SDN) enables us to chain network services much easier and faster. The main idea of using these technologies is to consolidate several Virtual Network Functions (VNFs) into a fewer number of commodity servers to reduce costs, increase VNFs fluidity and improve resource efficiency. However, the resource allocation and placement of VNFs in the network is a multifaceted decision problem that depends on many factors, including VNFs resource demand characteristics, arrival rate, configuration of underlying infrastructure, available resources and agreed Quality of Services (QoS) in Service Level Agreements (SLAs). This paper presents a bottom-up open-source NFV analysis platform (NFV-Inspector) to (1) systematically profile and classify VNFs based on resource capacities, traffic demand rate, underlying system properties, placement of VNFs in the network, etc. and (2) extract/calculate the correlation among the QoS metrics and resource utilization of VNFs. We evaluated our approach using an emulated virtual Evolved Packet Core platform (Open5GCore) to showcase how complex relation among various NFV service chains can be systematically profiled and analyzed.",10.1109/CloudNet.2018.8549333,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8549333,Network Function Virtualization;Profiling;Quality of Service;Classification;Software Defined Networking,Benchmark testing;Quality of service;Resource management;Correlation;Monitoring;Containers;Optimization,1,12,IEEE Conferences,,,,,,,,,,,,,,,,,,,,,,,,,
OK,Elastic Network Service Chain with Fine-Grained Vertical Scaling,2018,2018 IEEE Global Communications Conference (GLOBECOM),H. Yu; J. Yang; C. Fung,,,1,7,"By moving network functions from dedicated hardware to software, Network Function Virtualization (NFV) is expected to bring the advantages of cloud computing to network management. Frequent workload changes require the underlying infrastructure to be dynamic and agile to cope with the changes. Some existing studies have investigated elastic virtual machine (VM) positioning solutions by dynamically creating and destroying VM replicas, while maintaining balanced workload among VMs. However, those solutions are coarse-grained which may cause unnecessary resource over-provisioning and low resource utilization. In this paper, we propose ElasticNFV, a dynamic solution that achieves fine-grained cloud resource provisioning for Virtual Network Functions (VNFs). ElasticNFV analyzes realtime resource demand of multiple service chains and allocates resource through an elastic provision mechanism. When a scaling conflict occurs, ElasticNFV provides a Two-Phase Minimal Migration (TPMM) algorithm to optimize migration time and embedding cost of VNFs based on prediction. We implemented ElasticNFV on top of a KVM virtualization platform and Open vSwitch. Through simulation and testbed evaluation, we show that ElasticNFV can achieve high resource utilization and short migration time with low cost.",10.1109/GLOCOM.2018.8648096,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8648096,,Bandwidth;Cloud computing;Dynamic scheduling;Network function virtualization;Resource management;Heuristic algorithms;Prediction algorithms,1,17,IEEE Conferences,,,,,,,,,,,,,,,,,,,,,,,,,
EC2,VNF placement with replication for Loac balancing in NFV networks,2017,2017 IEEE International Conference on Communications (ICC),F. Carpio; S. Dhahri; A. Jukan,,,1,6,"Network Function Virtualization (NFV) is a new paradigm, enabling service innovation through virtualization of traditional network functions located flexibly in the network in form of Virtual Network Functions (VNFs). Since VNFs can only be placed onto servers located in networked data centers, which is the NFV's salient feature, the traffic directed to these data center areas has significant impact on network load balancing. Network load balancing can be even more critical for an ordered sequence of VNFs, also known as Service Function Chains (SFCs), a common cloud and network service approach today. To balance the network load, VNF's can be placed in a smaller cluster of servers in the network thus minimizing the distance to the data center. The optimization of the placement of these clusters is a challenge as also other factors need to be considered, such as the resource utilization. To address this issue, we study the problem of VNF placement with replications, and especially the potential of VNFs replications to help load balance the network. We design and compare three optimization methods, including Linear Programing (LP) model, Genetic Algorithm (GA) and Random Fit Placement Algorithm (RFPA) for the allocation and replication of VNFs. Our results show that the optimum placement and replication can significantly improve load balancing, for which we also propose a GA heuristics applicable to larger networks.",10.1109/ICC.2017.7996515,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7996515,,Load management;Servers;Mobile communication;Mobile computing;Resource management;Logic gates;Optimization,9,14,IEEE Conferences,,,,,,,,,,,,,,,,,,,,,,,,,
EC2,Virtual network functions orchestration in wireless networks,2015,2015 11th International Conference on Network and Service Management (CNSM),R. Riggio; A. Bradai; T. Rasheed; J. Schulz-Zander; S. Kuklinski; T. Ahmed,,,108,116,"Network Function Virtualization (NFV) is emerging as one of the most innovative concepts in the networking landscape. By migrating network functions from dedicated mid-dleboxes to general purpose computing platforms, NFV can effectively reduce the cost to deploy and to operate large networks. However, in order to achieve its full potential, NFV needs to encompass also the radio access network allowing Mobile Virtual Network Operators to deploy custom resource allocation solutions within their virtual radio nodes. Such requirement raises several challenges in terms of performance isolation and resource provisioning. In this work we formalize the Virtual Network Function (VNF) placement problem for radio access networks as an integer linear programming problem and we propose a VNF placement heuristic. Moreover, we also present a proof-of-concept implementation of an NFV management and orchestration framework for Enterprise WLANs. The proposed architecture builds upon a programmable network fabric where pure forwarding nodes are mixed with radio and packet processing nodes leveraging on general computing platforms.",10.1109/CNSM.2015.7367346,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7367346,,Data structures;Boolean functions;Bandwidth;Substrates;Virtualization;Radio access networks;Resource management,16,32,IEEE Conferences,,,,,,,,,,,,,,,,,,,,,,,,,
EC2,Proposal and Investigation of a Scalable NFV Orchestrator Based on Segment Routing Data/Control Plane,2018,2018 14th International Conference on Network and Service Management (CNSM),V. Eramo; F. G. Lavacca; T. Catena; M. Polverini; A. Cianfrani,,,426,431,Network Function Virtualization (NFV) has attracted significant interest in recent years due to its agility to adopt new technology and its flexibility in on-demand deployment of network functions. A major topic in the field of NFV research is the allocation and orchestration of VNF instances to provide satisfying network services according to user demands. The paper proposes and investigates a new solution for a scalable NFV Orchestrator allowing for a reduction of the needed time for the Service Function Chain routing and the allocation of cloud and bandwidth resources. That is obtained by abstracting and simplifying in the NFV orchestrator the knowledge of both the network topology and the resource amount available in the datacenters in which the Virtual Network Functions are executed. The solution is based on the Segment Routing paradigm that allows to implement the scalable orchestration at data plane level. Finally we show how the proposed solution reduce by 90% the time needed to execute an SFC routing and resource allocation algorithm with respect to a traditional orchestration solution.,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8584951,Network Function Virtualization;Scalable Orchestrator;Segment Routing;Software Defined Network,Routing;Servers;Bandwidth;Network topology;Resource management;Cloud computing;Random access memory,,21,IEEE Conferences,,,,,,,,,,,,,,,,,,,,,,,,,
